name,state,stars,category
Vietnamese Food Truck,FL,4.0,Vietnamese
Tuna Bar,PA,4.0,Japanese
BAP,PA,4.5,Korean
The Green Pheasant,TN,4.0,Japanese
China Dragon Restaurant,AZ,3.0,Chinese
Super Sushi Kyo Hin,NJ,3.5,Japanese
Golden Chopstick Chinese Restaurant,PA,3.0,Chinese
J Sushi,PA,4.5,Japanese
Kinjo's Japanese Restaurant,FL,3.5,Japanese
China Pearl,PA,1.5,Thai
Tomo Japanese Steakhouse and Sushi Bar,IN,4.0,Japanese
Shanghai Station,PA,4.0,Thai
Sake House,FL,3.0,Japanese
B2 Bluefin,PA,4.0,Japanese
Pho Friendly,NJ,4.5,Vietnamese
Misto Diner,PA,3.5,Chinese
Sher-e-Punjab,AZ,4.0,Indian
New India's Kitchen,MO,4.0,Indian
Mai Thai Restaurant,FL,4.5,Thai
Jong Ka Jib,PA,4.5,Korean
Tokyo Mandarin,NJ,4.0,Chinese
Thai Tanic,PA,3.0,Thai
Summer Palace Chinese Restaurant,MO,2.5,Chinese
La Bella China Restaurant,AZ,4.0,Chinese
BODHI : Craft Bar + Thai Bistro,IN,4.5,Thai
Chew Doin Fried Chicken & Ramen,IL,3.0,Japanese
Biryani Hut,IN,4.0,Indian
Mumbai Bistro,PA,4.0,Indian
Hong Kong Sunny,PA,3.0,Chinese
Pho Bistro,CA,3.0,Vietnamese
Persis Biryani Indian Grill,TN,4.5,Indian
Amber Indian Restaurant,IN,4.0,Indian
State Street Kitchen,PA,4.5,Korean
The Royal Indian Cuisine,PA,4.0,Indian
China City Restaurant,FL,2.5,Chinese
Siam Elephant,CA,4.5,Thai
Dosa Hut Indian Grill,TN,4.0,Indian
KELP Sushi Joint,FL,4.0,Japanese
India Palace,IN,3.5,Indian
Shanghai Express,NJ,4.0,Chinese
Hong Kong Chinese Restaurant,PA,3.0,Chinese
China Wok,PA,4.0,Chinese
Taj Mahal Homestyle Indian & Pakistani Cuisine,ID,4.0,Indian
Akira,NJ,3.0,Japanese
China Sunrise Restaurant,AZ,3.5,Chinese
Nippon Tei,MO,4.0,Japanese
Tsunami Japanese Steakhouse,FL,3.0,Japanese
Thai King,IN,4.5,Thai
Pho Orchid Uptown,LA,3.5,Vietnamese
Naoki Ramen,PA,4.0,Japanese
K-Bop STL,MO,4.5,Korean
Ndulge,PA,3.5,Thai
Rai Rai Ramen,NJ,4.5,Japanese
Golden Triangle,PA,4.5,Thai
Orchid Thai Foods,FL,4.5,Thai
Curry Corner,LA,2.5,Indian
Shogun,MO,3.0,Japanese
8th & Union Kitchen,DE,3.5,Vietnamese
Tandoor Authentic Indian Restaurant,PA,3.5,Indian
Panda Express,TN,3.0,Chinese
