business_id,name,city,state,stars,category
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,Affton,MO,3.0,Greek
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,Tampa Bay,FL,4.0,Vietnamese
il_Ro8jwPlHresjw9EGmBg,Denny's,Indianapolis,IN,2.5,American
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,Largo,FL,4.5,Italian
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,4.0,Japanese
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,PA,4.5,Korean
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,Reno,NV,2.5,Italian
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,Nashville,TN,4.0,Japanese
QdN72BWoyFypdGJhhI5r7g,Bar One,Philadelphia,PA,4.0,Italian
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Philadelphia,PA,3.5,American
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,Alton,IL,3.0,Italian
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,AZ,3.0,Chinese
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,Nashville,TN,3.5,American
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,Bala Cynwyd,PA,5.0,Italian
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,Tampa,FL,4.0,Italian
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,Indianapolis,IN,3.5,American
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,West Chester,PA,3.0,American
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,Williamstown,NJ,2.5,American
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,Glenolden,PA,4.5,American
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,Tucson,AZ,3.5,Italian
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,Wesley Chapel,FL,4.5,American
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,Burlington,NJ,3.5,Japanese
RK6-cJ9hj53RzOlCBmpT-g,Impasto,Tampa,FL,5.0,Italian
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,Saint Louis,MO,3.5,Italian
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,Wilmington,DE,4.0,Mexican
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,Treasure Island,FL,4.0,French
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,Saint Louis,MO,4.0,American
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,Woodbury,NJ,3.5,American
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Philadelphia,PA,3.0,Chinese
FRYkg_JvsWU9xIXZsEZcVA,Altamura,New Orleans,LA,3.5,Italian
WYYdQDjx-DsCanlP0DpImQ,J Sushi,Philadelphia,PA,4.5,Japanese
